gbpaud,gbpdkk,gbpsek
1.8292,8.5666,11.9291
1.8298,8.5649,11.9302
1.8296,8.5646,11.9256
1.8296,8.5624,11.9256
1.8292,8.5634,11.9256
1.8288,8.5636,11.9252
1.8296,8.5617,11.9225
1.8301,8.5632,11.9258
1.8298,8.5646,11.9273
1.8302,8.5646,11.9276
1.8309,8.5654,11.9311
1.8321,8.5668,11.9332
1.8326,8.5673,11.9336
1.8344,8.5682,11.9364
1.8346,8.5677,11.9353
1.8354,8.5673,11.9373
1.8354,8.5667,11.9396
1.8352,8.5668,11.9397
1.8344,8.5666,11.9386
1.8346,8.5654,11.9381
1.8344,8.5668,11.9399
1.8339,8.5651,11.9376
1.8341,8.5638,11.9355
1.8341,8.5617,11.9307
1.835,8.5615,11.9291
1.8342,8.563,11.9344
1.8321,8.562,11.9369
1.8308,8.5482,11.9179
1.8303,8.5362,11.9042
1.828,8.5339,11.9009
1.8254,8.5206,11.88
1.8262,8.5049,11.8628
1.826,8.5082,11.8652
1.8241,8.5075,11.8635
1.8223,8.5028,11.857
1.8234,8.4976,11.846
1.8241,8.4958,11.8466
1.8235,8.4972,11.8489
1.8243,8.4938,11.8441
1.8245,8.4969,11.8482
1.8244,8.4975,11.8546
1.8242,8.4981,11.8571
1.8241,8.4973,11.8566
1.8244,8.4964,11.8528
1.8234,8.4973,11.8525
1.8229,8.4945,11.8427
1.8226,8.496,11.8467
1.8226,8.4956,11.8452
1.8225,8.496,11.8457
1.8225,8.4969,11.8436
1.8224,8.4971,11.8403
1.8224,8.4963,11.8377
1.8226,8.4949,11.8359
1.8229,8.495,11.8352
1.8223,8.4953,11.8329
1.8215,8.4959,11.8315
1.8217,8.4944,11.831
1.8218,8.494,11.8311
1.8224,8.4951,11.8323
1.8224,8.4965,11.8346
1.8221,8.4982,11.8364
1.8223,8.498,11.836
1.8224,8.4996,11.8395
1.8225,8.4993,11.8439
1.8221,8.4989,11.8449
1.822,8.4979,11.8413
1.8217,8.4957,11.8371
1.8221,8.4947,11.8342
1.8224,8.4948,11.8353
1.8226,8.4963,11.8349
1.8223,8.4976,11.8347
1.8224,8.4966,11.8331
1.8218,8.4935,11.8274
1.8217,8.4932,11.8246
1.8215,8.4927,11.8251
1.8218,8.4925,11.8259
1.8216,8.4946,11.8274
1.8218,8.4931,11.8303
1.8219,8.4935,11.8305
1.822,8.4946,11.8323
1.8222,8.4947,11.8303
1.8226,8.4934,11.8302
1.8229,8.4928,11.8323
1.8226,8.4939,11.8339
1.8219,8.4948,11.8361
1.8222,8.4944,11.8347
1.8224,8.4944,11.8356
1.8225,8.4943,11.8354
1.8225,8.4949,11.8359
1.822,8.4958,11.8368
1.822,8.4937,11.8335
1.822,8.4936,11.8338
1.8227,8.4934,11.8335
1.8225,8.4934,11.8339
1.8223,8.4937,11.8347
1.8224,8.4941,11.8339
1.8229,8.4937,11.8359
1.8221,8.4956,11.8386
1.8224,8.4933,11.8354
1.8223,8.4942,11.8367
1.8227,8.4938,11.8372
1.8231,8.4944,11.8382
1.8234,8.4942,11.8379
1.8227,8.4943,11.8379
1.8229,8.4934,11.8364
1.8232,8.4939,11.8364
1.8238,8.4939,11.8364
1.824,8.4952,11.8386
1.8243,8.4954,11.8391
1.8244,8.493,11.8363
1.824,8.4921,11.8357
1.8237,8.4936,11.8371
1.8231,8.4935,11.8372
1.823,8.494,11.8382
1.8228,8.4938,11.8377
1.8224,8.4939,11.8382
1.8227,8.4941,11.8419
1.8233,8.4941,11.8449
1.8234,8.4938,11.845
1.8243,8.4932,11.8463
1.8246,8.493,11.846
1.8243,8.4934,11.8464
1.824,8.4925,11.8448
1.8241,8.4927,11.8449
1.8247,8.4921,11.8438
1.8246,8.4932,11.8445
1.8244,8.4931,11.8422
1.8258,8.4918,11.8372
1.8255,8.4919,11.8377
1.8248,8.4919,11.8376
1.8245,8.4929,11.8386
1.8243,8.4943,11.8407
1.8239,8.4943,11.84
1.8242,8.4934,11.8382
1.8249,8.4936,11.8393
1.8252,8.4945,11.8413
1.8253,8.4946,11.8414
1.8249,8.4945,11.8415
1.8253,8.4944,11.8419
1.8256,8.4945,11.8433
1.8252,8.4943,11.8429
1.825,8.4939,11.8423
1.8249,8.4941,11.8424
1.8247,8.4941,11.8427
1.8251,8.4939,11.8425
1.8246,8.4931,11.8424
1.8248,8.4924,11.8404
1.8245,8.4923,11.8405
1.8245,8.4916,11.8405
1.8242,8.4916,11.8406
1.8242,8.4922,11.8415
1.8243,8.4925,11.8412
1.8246,8.492,11.8409
1.8248,8.4929,11.8429
1.8249,8.4931,11.8434
1.8247,8.4935,11.8441
1.8242,8.4942,11.8458
1.824,8.4931,11.8437
1.8241,8.4926,11.8434
1.824,8.4944,11.846
1.8241,8.4945,11.8461
1.8243,8.4943,11.8463
1.8243,8.4946,11.8464
1.8242,8.4945,11.8485
1.8244,8.4941,11.8479
1.8242,8.4936,11.8483
1.8242,8.4932,11.8483
1.8247,8.4935,11.8476
1.8248,8.4937,11.8475
1.8247,8.4937,11.8487
1.8246,8.4931,11.8471
1.825,8.4921,11.8466
1.825,8.4936,11.8488
1.8243,8.4943,11.8513
1.8241,8.4924,11.8485
1.8241,8.4916,11.8468
1.8243,8.4907,11.8453
1.8241,8.4907,11.8448
1.8234,8.4874,11.8406
1.8235,8.487,11.8391
1.8247,8.4863,11.8393
1.8246,8.4869,11.8358
1.8244,8.4864,11.8346
1.8245,8.4868,11.8342
1.8242,8.4847,11.8306
1.8237,8.4836,11.8294
1.8225,8.4832,11.8289
1.8224,8.4783,11.8217
1.8225,8.4798,11.8171
1.8232,8.4812,11.8207
1.8233,8.4827,11.8267
1.8232,8.4839,11.8262
1.8225,8.4836,11.8253
1.8226,8.476,11.8164
1.8224,8.4742,11.8162
1.8209,8.4746,11.817
1.8218,8.473,11.8158
1.8218,8.4732,11.8145
1.8233,8.4726,11.814
1.8236,8.4765,11.8227
1.8231,8.4793,11.8252
1.8227,8.4779,11.8242
1.8233,8.4792,11.8269
1.8229,8.4846,11.8309
1.8225,8.4833,11.8278
1.8234,8.486,11.8281
1.8237,8.4875,11.8327
1.8234,8.4888,11.8347
1.8233,8.4875,11.8312
1.8236,8.486,11.8343
1.8236,8.4904,11.8372
1.8236,8.4893,11.83
1.8241,8.4915,11.8318
1.8247,8.4945,11.8363
1.8254,8.4976,11.8413
1.8252,8.5035,11.85
1.8251,8.5051,11.8518
1.8266,8.4997,11.8486
1.8271,8.5014,11.8489
